date,weekday,inner_speed1,inner_speed2,inner_speed3,inner_speed4,inner_speed5,inner_speed6,inner_speed7,inner_speed8,outer_speed,inner_speed1_predicting,inner_speed2_predicting,inner_speed3_predicting,inner_speed4_predicting,inner_speed5_predicting,inner_speed6_predicting,inner_speed7_predicting,inner_speed8_predicting,
25.05.2023,4,0.905856818,0.883845455,0.840166667,0.669913636,0.888781818,0.826692819,0.811101234,0.831609849,0.872052881,0.907591667,0.862370833,0.819139583,0.91300625,0.826138889,0.8524375,0.8524375,0.72014375,0.834300198
26.05.2023,5,0.8647375,0.883091667,0.846833333,0.656875,0.859233333,0.791452261,0.78277137,0.824129167,0.845606324,0.693658333,0.696241667,0.598216667,0.693658333,0.660258333,0.6609,0.6609,0.513883333,0.638877806
27.05.2023,6,0.92754,0.96913,0.867833333,0.679809091,0.95077,0.884387236,0.875140442,0.922815,0.898462529,0.6143625,0.658685417,0.5829625,0.614322917,0.612220833,0.61295,0.61295,0.437841667,0.590042219
28.05.2023,7,0.9079415,0.909861974,0.851,0.670479546,0.92022123,0.936969415,0.929804732,0.85023685,0.890469148,0.929375,0.942270833,0.960016667,0.929375,0.977541667,0.981666667,0.981666667,0.8191875,0.909107738
29.05.2023,1,0.964784849,0.970895833,0.900333333,0.733506818,0.968798864,0.844209765,0.837058582,0.985668182,0.927054235,0.9795625,0.947904167,0.954004167,0.9785375,0.992283333,0.983333333,0.983333333,0.85075,0.944189626
30.05.2023,2,0.911166667,0.919520833,0.921166667,0.750322727,0.88875,0.874948972,0.870886792,0.839670833,0.874607479,0.950045833,0.877945833,0.892779167,0.942470833,0.8965,0.897308333,0.897308333,0.79155,0.878065816
31.05.2023,3,0.852083333,0.942708333,0.879666667,0.703747727,0.820770833,0.797940147,0.79148429,0.887925,0.828032496,0.915170833,0.846233333,0.8460375,0.925466667,0.863725,0.934904167,0.934904167,0.772254167,0.845913776
01.06.2023,4,0.839554802,0.818872843,0.840166667,0.669913636,0.816622241,0.826692819,0.811101234,0.76449004,0.806419405,0.894466667,0.826508333,0.809233333,0.900683333,0.831308333,0.866875,0.866875,0.732541667,0.836957993
02.06.2023,5,0.804605331,0.802703165,0.797129017,0.765259214,0.805539903,0.791452261,0.78277137,0.71561165,0.782756051,0.797577062,0.777929201,0.827134959,0.78995708,0.775791129,0.826692819,0.811101234,0.726265538,0.777188676
03.06.2023,6,0.892959062,0.908970273,0.877374097,0.838799324,0.904492682,0.884387236,0.875140442,0.820412416,0.872530328,0.804605331,0.802703165,0.797129017,0.765259214,0.805539903,0.791452261,0.78277137,0.71561165,0.782756051
04.06.2023,7,0.688889286,0.72285,0.846833333,0.656875,0.733838691,0.936969415,0.929804732,0.708128571,0.725514944,0.892959062,0.908970273,0.877374097,0.838799324,0.904492682,0.884387236,0.875140442,0.820412416,0.872530328
05.06.2023,1,0.94328125,0.86536875,0.867833333,0.679809091,0.928439583,0.844209765,0.837058582,0.822158333,0.891551425,0.730783333,0.678120833,0.71095,0.730783333,0.735933333,0.691666667,0.691666667,0.576254167,0.673372449
06.06.2023,2,0.937425,0.9132625,0.855902443,0.658517398,0.894166667,0.874948972,0.870886792,0.825095833,0.870258584,0.895283333,0.869604167,0.806895833,0.904358333,0.845670833,0.8306625,0.8306625,0.665391667,0.820525255
07.06.2023,3,0.9121375,0.882304167,0.896217294,0.723680137,0.873683333,0.5371875,0.5321375,0.767745833,0.798272874,0.670805682,0.598220455,0.569863258,0.670690909,0.600374621,0.641879924,0.641879924,0.452606439,0.584192045
08.06.2023,4,0.75,0.701625,0.921166667,0.750322727,0.75,0.75,0.69300625,0.7349125,0.703621939,0.6675625,0.5942,0.6323125,0.66425,0.64328125,0.67163125,0.67163125,0.501225,0.652254762
09.06.2023,5,0.667716667,0.67247,0.879666667,0.703747727,0.677684167,0.648286667,0.599056667,0.5874525,0.643626166,0.797577062,0.777929201,0.827134959,0.78995708,0.775791129,0.826692819,0.811101234,0.726265538,0.777188676
10.06.2023,6,0.979408333,0.979841667,0.840166667,0.669913636,0.9354375,0.950329167,0.9163125,0.915804167,0.924616752,0.548305,0.568235,0.46184,0.548305,0.54462,0.52167,0.52167,0.38825,0.510347347
11.06.2023,7,0.972225,0.979841667,0.977572222,0.960125,0.962047222,0.977572222,0.925475,0.981945833,0.951958577,0.68637,0.676035,0.6527,0.6770275,0.667979167,0.656878333,0.656878333,0.513833333,0.684681139
12.06.2023,1,,,,,,,,,,,,,,,,,,
13.06.2023,2,,,,,,,,,,,,,,,,,,
14.06.2023,3,,,,,,,,,,,,,,,,,,
15.06.2023,4,,,,,,,,,,,,,,,,,,
16.06.2023,5,,,,,,,,,,,,,,,,,,
17.06.2023,6,,,,,,,,,,,,,,,,,,
18.06.2023,7,,,,,,,,,,,,,,,,,,
19.06.2023,1,,,,,,,,,,,,,,,,,,
20.06.2023,2,,,,,,,,,,,,,,,,,,
21.06.2023,3,,,,,,,,,,,,,,,,,,
22.06.2023,4,,,,,,,,,,,,,,,,,,
