date,weekday,Speed inner1,Speed inner2,Speed inner3,Speed inner4,Speed inner5,Speed inner6,Speed inner7,Speed inner8,Speed outer,inner_speed
11.06.2023,7,0.972225,0.979841667,0.977572222,0.960125,0.962047222,0.977572222,0.925475,0.981945833,0.951958577,0.967100521
12.06.2023,1,0.900070076,0.863439394,0.898333333,0.900838258,0.940459091,0.898333333,0.835795455,0.865453788,0.868570493,0.887840341
13.06.2023,2,0.941920833,0.883525,0.893670833,0.936716667,0.885691667,0.893670833,0.872541667,0.8998875,0.879785969,0.900953125
14.06.2023,3,0.871922727,0.874222349,0.875574242,0.878854546,0.899517424,0.875574242,0.840554167,0.844881439,0.853278742,0.870137642
15.06.2023,4,0.873458333,0.8842875,0.884579167,0.881620833,0.873129167,0.884579167,0.833654167,0.866333333,0.853731037,0.872705208
16.06.2023,5,0.885029167,0.8666,0.879075,0.882854167,0.895504167,0.8778125,0.847408333,0.843804167,0.857979337,0.872260938
17.06.2023,6,0.938016667,0.963041667,0.937620833,0.9341125,0.974425,0.937620833,0.875870833,0.907229167,0.918416071,0.933492188
18.06.2023,7,0.955141667,0.952833333,0.952854167,0.953558333,1,0.952854167,0.904408333,0.974704167,0.951440476,0.955794271
19.06.2023,1,0.925575,0.875809167,0.881511667,0.926805,0.931294167,0.881511667,0.8525525,0.867665833,0.888786207,0.892840625
20.06.2023,2,0.890666667,0.8477125,0.866570833,0.8800125,0.869483333,0.866570833,0.855779167,0.869554167,0.856102381,0.86829375
21.06.2023,3,0.894025,0.8963375,0.8773125,0.887104167,0.894175,0.8773125,0.8593,0.85165,0.867014541,0.879652083
22.06.2023,4,0.663692857,0.643857143,0.684321429,0.665521429,0.655614286,0.684321429,0.643878571,0.649635714,0.661304009,0.661355357
23.06.2023,5,0.52361875,0.5471625,0.56725,0.52881875,0.59275625,0.56725,0.5508125,0.49068125,0.54413801,0.54604375
24.06.2023,6,0.6468,0.596264167,0.6449525,0.67123,0.617025833,0.6412525,0.589115833,0.550800833,0.619856899,0.619680208
25.06.2023,7,0.9079415,0.909861974,0.925033505,0.886755114,0.92022123,0.936969415,0.929804732,0.85023685,0.890469148,0.90835304
26.06.2023,1,0.6501575,0.6474375,0.5991825,0.646245,0.6641875,0.5991825,0.587665,0.58555,0.615087449,0.622450938
27.06.2023,2,0.932058333,0.666666667,0.646591667,0.674604167,0.667383333,0.646591667,0.625704167,0.650191667,0.719198384,0.688723959
28.06.2023,3,0.605161111,0.617691667,0.612968056,0.605216667,0.594433333,0.612968056,0.578052778,0.629415278,0.592526162,0.606988368
29.06.2023,4,0.900125,0.869670833,0.868758333,0.899066667,0.8945625,0.868758333,0.846895833,0.857091667,0.861089371,0.875616146
30.06.2023,5,0.83890303,0.846037121,0.873747727,0.8378125,0.88875947,0.873747727,0.856967803,0.840053788,0.838868592,0.857003646
01.07.2023,6,0.934985714,0.949694643,0.941757143,0.926782143,0.993621429,0.941757143,0.960205357,0.942195238,0.943766412,0.948874851
02.07.2023,7,0.75,0.75,0.72595625,0.75,0.75,0.72595625,0.72619375,0.73706875,0.725598937,0.739396875
03.07.2023,1,0.6830725,0.613396667,0.60048,0.6830725,0.68869,0.599355,0.609404167,0.590608333,0.62135932,0.633509896
04.07.2023,2,0.941059821,0.851380655,0.870675,0.933484821,0.856919643,0.937139286,0.937139286,0.777588393,0.860299526,0.888173363
05.07.2023,3,0.907591667,0.862370833,0.819139583,0.91300625,0.826138889,0.8524375,0.8524375,0.72014375,0.834300198,0.844158247
06.07.2023,4,0.693658333,0.696241667,0.598216667,0.693658333,0.660258333,0.6609,0.6609,0.513883333,0.638877806,0.647214583
07.07.2023,5,0.6143625,0.658685417,0.5829625,0.614322917,0.612220833,0.61295,0.61295,0.437841667,0.590042219,0.593286979
08.07.2023,6,0.929375,0.942270833,0.960016667,0.929375,0.977541667,0.981666667,0.981666667,0.8191875,0.909107738,0.9401375
09.07.2023,7,0.9795625,0.947904167,0.954004167,0.9785375,0.992283333,0.983333333,0.983333333,0.85075,0.944189626,0.958713542
10.07.2023,1,0.950045833,0.877945833,0.892779167,0.942470833,0.8965,0.897308333,0.897308333,0.79155,0.878065816,0.893238542
11.07.2023,2,0.915170833,0.846233333,0.8460375,0.925466667,0.863725,0.934904167,0.934904167,0.772254167,0.845913776,0.879836979
12.07.2023,3,0.894466667,0.826508333,0.809233333,0.900683333,0.831308333,0.866875,0.866875,0.732541667,0.836957993,0.841061458
13.07.2023,4,0.797577062,0.777929201,0.827134959,0.78995708,0.775791129,0.826692819,0.811101234,0.726265538,0.777188676,0.791556128
14.07.2023,5,0.804605331,0.802703165,0.797129017,0.765259214,0.805539903,0.791452261,0.78277137,0.71561165,0.782756051,0.783133989
