date,education-inner,education-outer,consumption-inner,consumption-outer,transportation-inner,transportation-outer,cultural-inner,cultural-outer,bicycle-inner,bicycle-outer,removedparking,Mobility hubs added,percentageclosedstreet
01.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
02.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
03.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
04.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
05.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
06.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
07.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
08.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
09.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
10.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
11.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
12.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
13.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
14.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
15.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
16.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
17.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
18.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
19.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
20.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
21.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
22.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
23.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
24.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
25.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
26.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
27.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
28.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
29.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
30.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
31.08.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
01.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
02.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
03.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
04.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
