date,weekday,Speed inner1,Speed inner2,Speed inner3,Speed inner4,Speed inner5,Speed inner6,Speed inner7,Speed inner8,Speed outer,inner_speed
10.06.2023,6,0.887041667,0.984725,0.960220833,0.984725,0.942295833,0.9527875,0.984725,0.961433333,0.947409486,0.957244271
11.06.2023,7,0.934465278,0.990279167,1,0.990279167,0.954688889,0.990591667,0.990279167,1,0.969115189,0.981322917
12.06.2023,1,0.863085606,0.909060606,0.884176515,0.909060606,0.902159849,0.917673485,0.909060606,0.88547197,0.891320003,0.897468655
13.06.2023,2,0.830420833,0.945258333,0.956495833,0.945258333,0.891204167,0.967445833,0.945258333,0.956495833,0.899936613,0.929729687
14.06.2023,3,0.852503409,0.882955682,0.925301894,0.882955682,0.865354546,0.966440909,0.882955682,0.925301894,0.877399815,0.897971212
15.06.2023,4,0.861725,0.8874,0.896433333,0.8874,0.8399375,0.920225,0.8874,0.896433333,0.868153812,0.884619271
16.06.2023,5,0.8473,0.897704167,0.911625,0.897704167,0.927254167,0.96875,0.897704167,0.911625,0.882142553,0.907458334
17.06.2023,6,0.883925,0.912558333,0.954479167,0.912558333,0.946204167,1,0.912558333,0.954479167,0.934302926,0.934595313
18.06.2023,7,0.907279167,0.97045,0.992283333,0.97045,0.968716667,0.988283333,0.97045,0.992283333,0.9665,0.970024479
19.06.2023,1,0.851656667,0.915213333,0.938005,0.915213333,0.907238333,0.959655,0.915213333,0.938005,0.905462855,0.917525
20.06.2023,2,0.850383333,0.902445833,0.9250375,0.902445833,0.841129167,0.942925,0.902445833,0.9266375,0.876198847,0.89918125
21.06.2023,3,0.870020833,0.916666667,0.930966667,0.916666667,0.890220833,0.926945833,0.916666667,0.930966667,0.891810816,0.912390104
22.06.2023,4,0.647064286,0.687514286,0.7209,0.687514286,0.673414286,0.71325,0.687514286,0.7209,0.673630213,0.692258929
23.06.2023,5,0.5573625,0.62708125,0.64063125,0.62708125,0.66649375,0.66766875,0.62708125,0.64063125,0.595938963,0.631753906
24.06.2023,6,0.580766667,0.669765833,0.705243333,0.669765833,0.677423333,0.75,0.666435833,0.705243333,0.664169669,0.678080521
25.06.2023,7,0.855369187,0.899865482,0.936891142,0.947458333,0.902131889,0.914796976,0.944689908,0.912970761,0.908295831,0.91427171
26.06.2023,1,0.608825,0.641645,0.643625,0.641645,0.6858,0.7166625,0.641645,0.643625,0.647583191,0.652934063
27.06.2023,2,0.654304167,0.6736375,0.696070833,0.6736375,0.654279167,0.692908333,0.6736375,0.686454167,0.681397606,0.675616146
28.06.2023,3,0.618559722,0.628519444,0.640672222,0.628519444,0.629502778,0.69935,0.628519444,0.650961111,0.624873109,0.640575521
29.06.2023,4,0.88,0.899470833,0.932629167,0.899470833,0.875895833,0.928216667,0.899470833,0.932629167,0.883091667,0.905972917
30.06.2023,5,0.878260227,0.929591667,0.919594318,0.929591667,0.842521212,0.894519697,0.929591667,0.925765152,0.871354852,0.906179451
01.07.2023,6,0.917102381,0.993279167,0.984128571,0.993279167,0.970907143,0.942635714,0.993279167,0.984128571,0.963976393,0.972342485
02.07.2023,7,0.73529375,0.75,0.75,0.75,0.73660625,0.7349125,0.75,0.75,0.733422429,0.744601563
03.07.2023,1,0.580901667,0.6452625,0.66406,0.6377325,0.661883333,0.706475,0.67425,0.657448333,0.641363741,0.653501667
04.07.2023,2,0.831964286,0.802304464,0.848620536,0.9062625,0.863416964,0.98214375,0.98214375,0.863416964,0.872098119,0.885034152
05.07.2023,3,0.844770833,0.814125,0.8319125,0.888477083,0.878583333,0.939483333,0.932502083,0.877058333,0.86669904,0.875864062
06.07.2023,4,0.637466667,0.63225,0.59,0.692916667,0.617858333,0.711741667,0.711741667,0.617858333,0.626896277,0.651479167
07.07.2023,5,0.595635417,0.591372917,0.59041875,0.69525,0.6815875,0.72410625,0.73660625,0.6815875,0.619579566,0.662070573
08.07.2023,6,0.894783333,0.862766667,0.913470833,0.963941667,0.967483333,0.977083333,0.977083333,0.967483333,0.934503723,0.940511979
09.07.2023,7,0.8990875,0.8978,0.9388875,0.961954167,0.934645833,1,1,0.934645833,0.960769504,0.945877604
10.07.2023,1,0.8746125,0.852129167,0.909166667,0.955033333,0.9297125,0.939441667,0.9213875,0.9297125,0.89586711,0.913899479
11.07.2023,2,0.840579167,0.818766667,0.885554167,0.942320833,0.828895833,0.935908333,0.935908333,0.831704167,0.860933067,0.877454688
12.07.2023,3,0.836716667,0.8005,0.8124625,0.9002625,0.7701125,0.8917125,0.88725,0.768754167,0.849760638,0.833471354
13.07.2023,4,0.752269387,0.812631034,0.830848674,0.853579708,0.775527089,0.809514457,0.847761337,0.798983523,0.799222179,0.810139401
14.07.2023,5,0.771907408,0.811747842,0.798527854,0.847447532,0.839951734,0.869677211,0.846556517,0.843124278,0.810277332,0.828617547
15.07.2023,6,0.85296715,0.888391845,0.881575493,0.912379405,0.897899881,0.918777444,0.914732202,0.903543691,0.89321938,0.896283389
