date,1_escooter,2_escooter,4_escooter,5_escooter,8_escooter,15_escooter,87_escooter,88_escooter,89_escooter,90_escooter,92_escooter
24.07.2023,0.0002,0.0011,0.0001,0.0002,0.0002,0.0001,0.0007,0.0001,0.0005,0,0
25.07.2023,0.0003,0.0008,0,0.0003,0.0001,0,0.0007,0.0002,0.0002,0,0
26.07.2023,0.0001,0.0012,0.0001,0.0008,0,0,0.0001,0,0,0,0
27.07.2023,0.0001,0.0007,0.0002,0.0006,0,0.0001,0.0002,0.0001,0.0002,0,0.0001
28.07.2023,0,0.0001,0.0002,0.0004,0.0003,0.0002,0.0003,0.0002,0.0005,0,0
29.07.2023,0,0.0004,0.0002,0.0002,0.0001,0.0002,0.0005,0.0002,0.0005,0,0
30.07.2023,0,0.0003,0.0003,0.0003,0.0001,0.0003,0.0005,0.0002,0.0003,0.0001,0.0002
31.07.2023,0.0001,0.0002,0,0.0003,0,0.0001,0.0007,0.0001,0.0006,0.0002,0.0002
01.08.2023,0.0001,0.0003,0.0001,0.0006,0.0001,0,0.0003,0,0.0003,0.0001,0.0002
02.08.2023,0.0001,0.0006,0.0002,0.0006,0,0,0.0005,0,0.0006,0,0.0003
03.08.2023,0.0001,0.001,0.0002,0,0.0001,0,0.0002,0.0001,0.0003,0,0
04.08.2023,0.000223077,0.000592308,0.000107692,0.000592308,0.000230769,0.000161538,0.000453846,0.0003,0.000392308,0.000107692,0.000184615
05.08.2023,0,0.0005,0,0.0003,0,0.0004,0.0001,0.0004,0.0004,0,0
06.08.2023,0,0.0005,0,0.0006,0.0003,0.0006,0.0007,0.0005,0.0007,0.0001,0.0003
07.08.2023,0,0.0004,0.0002,0.0011,0,0.0006,0.001,0.0005,0.001,0.0003,0.0003
08.08.2023,0.0001,0.0001,0.0002,0.0007,0,0.0004,0.0008,0.0003,0.0006,0.0004,0.0004
09.08.2023,0,0.0005,0,0.0008,0,0.0002,0.0008,0.0001,0.0004,0.0001,0.0005
10.08.2023,0.0001,0.0003,0,0.0008,0,0,0.0006,0.0001,0.0004,0.0001,0.0005
11.08.2023,0.0001,0.0004,0.0001,0.0009,0.0001,0,0.0004,0.0001,0.0004,0.0005,0.0011
12.08.2023,0.0001,0.0006,0.0002,0.0003,0.0001,0.0001,0.0009,0.0001,0.0008,0.0001,0.0006
13.08.2023,0.0004,0.0011,0,0.0007,0.0002,0.0001,0.0016,0.0003,0.0008,0.0002,0.0005
14.08.2023,0.0003,0.0014,0.0002,0.0004,0.0001,0.0003,0.001,0.0004,0.0004,0,0.0004
15.08.2023,0.0001,0.0006,0.0008,0.0007,0,0.0006,0.0008,0.0007,0.0006,0,0.0002
16.08.2023,0,0.0004,0.0007,0.0008,0.0002,0.0002,0.0005,0.0002,0.0003,0,0
17.08.2023,0.0004,0.0005,0.0004,0.0015,0,0.0004,0.0015,0.0011,0.0005,0,0
18.08.2023,0.0005,0.0008,0.0002,0.0011,0.0001,0.0003,0.0016,0.0011,0.0007,0.0002,0.0001
19.08.2023,0.0005,0.0013,0.0003,0.0009,0.0001,0,0.0005,0.0004,0.0001,0.0001,0
20.08.2023,0.0001,0.0002,0.0001,0.0007,0.0004,0.0001,0.0002,0.0002,0.0002,0.0001,0.0002
21.08.2023,0.0001,0.0004,0,0.0006,0.0004,0,0,0,0,0.0001,0.0004
22.08.2023,0.000133333,0.00062,0.000146667,0.00056,0.00012,0.000126667,0.000366667,0.000213333,0.000293333,4.00E-05,0.000126667
23.08.2023,0,0.0007,0,0.0003,0.0001,0,0.0001,0,0.0001,0,0.0003
24.08.2023,0.0002,0.0003,0,0.0002,0.0001,0.0001,0.0002,0.0002,0.0002,0,0.0003
25.08.2023,0.0003,0.0007,0,0.0005,0.0001,0,0.0005,0.0001,0.0003,0,0
26.08.2023,0.0003,0.0003,0,0.0003,0,0.0002,0.0001,0.0001,0.0001,0,0.0002
27.08.2023,0.0002,0.001,0,0.0003,0,0.0004,0.0007,0.0002,0.0006,0,0.0004
28.08.2023,0.0002,0.0018,0.0001,0.0002,0,0.0002,0.0008,0,0.0007,0.0002,0.0002
29.08.2023,0.000133333,0.00062,0.000146667,0.00056,0.00012,0.000126667,0.000366667,0.000213333,0.000293333,4.00E-05,0.000126667
30.08.2023,0.0001125,0.00051875,0.0001125,0.00075,0.0001875,5.63E-05,0.00034375,0.00010625,0.00025625,1.88E-05,0.0001625
31.08.2023,0,0.0008,0.0001,0.0003,0.0003,0.0004,0.0002,0.0004,0.0001,0,0
01.09.2023,0,0.0008,0.0005,0.0002,0.0007,0.0003,0.0004,0.0003,0.0004,0,0
02.09.2023,0.0002,0.0008,0.0005,0.0002,0.0005,0.0003,0.0009,0.0006,0.0006,0,0
03.09.2023,0.0004,0.0009,0.0001,0.0008,0.0002,0.0007,0.0011,0.0011,0.0004,0,0
04.09.2023,0.0003,0.0009,0.0001,0.0007,0.0003,0.0005,0.0005,0.0006,0.0001,0,0.0002
05.09.2023,0.0003,0.0006,0.0002,0.0008,0.0004,0.0001,0.0004,0.0001,0.0003,0,0.0003
06.09.2023,0.0002,0.0004,0.0001,0.0004,0.0003,0.0002,0.0006,0.0003,0.0003,0,0.0001
07.09.2023,0.0002,0.0009,0,0.0004,0,0.0003,0.0006,0.0006,0.0008,0.0002,0.0001
08.09.2023,0.0006,0.0009,0,0.0003,0.0001,0.0003,0.0005,0.0005,0.0004,0.0001,0.0001
09.09.2023,0.0006,0.0006,0,0.0005,0.0001,0.0001,0.0009,0,0.0007,0.0002,0.0001
10.09.2023,0.0002,0.0009,0.0002,0.0006,0.0001,0.0001,0.0002,0.0001,0.0003,0,0.0001
11.09.2023,0.0003,0.0012,0.0002,0.0003,0.0001,0.0001,0.0005,0.0002,0.0004,0,0.0001
12.09.2023,0.0002,0.0012,0.0001,0.0005,0,0.0001,0,0.0001,0.0001,0,0.0002
13.09.2023,0.0002,0.0009,0.0001,0.0004,0,0,0.0001,0.0001,0.0003,0.0001,0.0002
14.09.2023,0.0003,0.0011,0,0.0004,0.0004,0,0.0003,0,0.0001,0.0001,0.0002
15.09.2023,0.0002,0.0011,0.0002,0.0007,0.0006,0.0001,0.0004,0.0002,0.0002,0.0001,0.0001
16.09.2023,0.0002,0.0012,0.0005,0.0005,0.0004,0.0002,0.0001,0,0.0002,0,0
17.09.2023,0,0.0007,0.0001,0.001,0.0001,0.0001,0.0003,0.0002,0.0001,0,0
18.09.2023,0,0.0003,0.0001,0.0004,0.0001,0,0,0,0.0001,0,0.0001
19.09.2023,0,0.0004,0,0.0006,0.0001,0.0001,0.0001,0.0001,0.0001,0,0.0001
20.09.2023,0.0001,0.0005,0.0001,0.0041,0.0008,0,0.0003,0,0.0001,0,0
