date,education-kol-inner,education-landl-inner,education-kol-outer,education-landl-outer,consumption-kol-inner,consumption-landl-inner,consumption-kol-outer,consumption-landl-outer,transportation-kol-inner,transportation-landl-inner,transportation-kol-outer,transportation-landl-outer,cultural-kol-inner,cultural-landl-inner,cultural-kol-outer,cultural-landl-outer,bicycle-kol-inner,bicycle-landl-inner,bicycle-kol-outer,bicycle-landl-outer,removedparking-kol,removedparking-landl
29.06.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,0
30.06.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,0
01.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,0
02.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,0
03.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,0
04.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,0
05.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
06.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
07.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
08.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
09.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
10.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
11.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
12.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
13.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
14.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
15.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
16.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
17.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
18.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
19.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
20.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
21.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
22.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
23.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
24.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
25.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
26.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
27.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
28.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
29.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
30.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
31.07.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
