date,weekday,inner_speed1_au,inner_speed2_au,inner_speed3_au,inner_speed4_au,inner_speed5_au,inner_speed6_au,inner_speed7_au,inner_speed8_au,outer_speed_au,inner_speed1_wp,inner_speed2_wp,inner_speed3_wp,inner_speed4_wp,inner_speed5_wp,inner_speed6_wp,inner_speed7_wp,inner_speed8_wp,outer_speed_wp
24.05.2023,3,0.89621125,0.92812,0.879666667,0.703747727,0.86072,0.797940147,0.79148429,0.925,0.865301035,0.89042,0.784407445,0.801172302,0.830751274,0.95427625,0.99118,0.836457197,1,0.831483342
25.05.2023,4,0.905856818,0.883845455,0.840166667,0.669913636,0.888781818,0.826692819,0.811101234,0.831609849,0.872052881,0.872309849,0.812631034,0.830848674,0.853579708,0.930025379,0.909127273,0.847761337,0.960359091,0.873863989
26.05.2023,5,0.8647375,0.883091667,0.846833333,0.656875,0.859233333,0.791452261,0.78277137,0.824129167,0.845606324,0.847166667,0.811747842,0.798527854,0.847447532,0.954070833,0.9356875,0.846556517,0.955608333,0.863305802
27.05.2023,6,0.92754,0.96913,0.867833333,0.679809091,0.95077,0.884387236,0.875140442,0.922815,0.898462529,0.83697,0.888391845,0.881575493,0.912379405,0.92806,0.884815833,0.914732202,0.911755,0.915155629
28.05.2023,7,0.9079415,0.909861974,0.851,0.670479546,0.92022123,0.936969415,0.929804732,0.85023685,0.890469148,0.855369187,0.899865482,0.936891142,0.947458333,0.902131889,0.914796976,0.944689908,0.912970761,0.908295831
29.05.2023,1,0.964784849,0.970895833,0.900333333,0.733506818,0.968798864,0.844209765,0.837058582,0.985668182,0.927054235,0.904392424,0.839158722,0.858035138,0.880557589,0.965410227,0.988268182,0.888373946,0.967626515,0.912575002
30.05.2023,2,0.911166667,0.919520833,0.921166667,0.750322727,0.88875,0.874948972,0.870886792,0.839670833,0.874607479,0.821191667,0.847866049,0.85470359,0.895645688,0.936808333,0.928795833,0.892102054,0.9244125,0.884740254
31.05.2023,3,0.852083333,0.942708333,0.879666667,0.703747727,0.820770833,0.797940147,0.79148429,0.887925,0.828032496,0.817091667,0.784407445,0.801172302,0.830751274,0.928870833,0.875275,0.836457197,0.8856125,0.84270814
01.06.2023,4,0.839554802,0.818872843,0.840166667,0.669913636,0.816622241,0.826692819,0.811101234,0.76449004,0.806419405,0.791862512,0.812631034,0.830848674,0.853579708,0.816344304,0.852120481,0.847761337,0.841035287,0.823700733
02.06.2023,5,0.804605331,0.802703165,0.797129017,0.765259214,0.805539903,0.791452261,0.78277137,0.71561165,0.782756051,0.771907408,0.811747842,0.798527854,0.847447532,0.839951734,0.869677211,0.846556517,0.843124278,0.810277332
